iter	Passed	Remaining
774	3015	16437
775	3018	16432
776	3022	16427
777	3026	16423
778	3030	16418
779	3033	16413
780	3037	16409
781	3041	16404
782	3045	16400
783	3048	16395
784	3052	16390
785	3056	16386
786	3060	16381
787	3063	16376
788	3067	16372
789	3071	16367
790	3075	16363
791	3078	16358
792	3082	16353
793	3086	16349
794	3090	16345
795	3094	16340
796	3097	16336
797	3101	16331
798	3105	16326
799	3108	16322
800	3112	16317
801	3116	16313
802	3120	16308
803	3123	16303
804	3127	16298
805	3131	16294
806	3135	16289
807	3138	16284
808	3142	16279
809	3146	16275
810	3150	16271
811	3153	16266
812	3157	16262
813	3161	16257
814	3165	16253
815	3168	16248
816	3172	16243
817	3176	16239
818	3180	16234
819	3183	16230
820	3187	16226
821	3191	16222
822	3195	16218
823	3199	16214
824	3203	16209
825	3205	16198
826	3207	16187
827	3211	16182
828	3215	16177
829	3218	16167
830	3221	16163
831	3224	16152
832	3227	16147
833	3231	16142
834	3235	16138
835	3239	16133
836	3242	16129
837	3246	16125
838	3249	16113
839	3252	16109
840	3256	16105
841	3259	16095
842	3263	16091
843	3266	16086
844	3269	16075
845	3273	16071
846	3275	16060
847	3279	16056
848	3283	16053
849	3287	16048
850	3290	16043
851	3293	16032
852	3295	16021
853	3299	16017
854	3302	16012
855	3306	16008
856	3310	16003
857	3313	15993
858	3316	15989
859	3319	15978
860	3322	15974
861	3326	15969
862	3330	15965
863	3332	15955
864	3336	15951
865	3339	15939
866	3341	15929
867	3345	15924
868	3347	15913
869	3351	15909
870	3355	15905
871	3358	15901
872	3364	15904
873	3368	15900
874	3370	15890
875	3374	15886
876	3376	15875
877	3380	15870
878	3384	15866
879	3388	15862
880	3390	15851
881	3392	15841
882	3395	15830
883	3399	15826
884	3401	15815
885	3403	15805
886	3407	15801
887	3411	15797
888	3415	15793
889	3419	15789
890	3422	15785
891	3426	15780
892	3430	15776
893	3433	15771
894	3437	15766
895	3441	15762
896	3444	15757
897	3448	15752
898	3452	15748
899	3456	15744
900	3459	15740
901	3463	15735
902	3467	15731
903	3471	15727
904	3474	15723
905	3478	15719
906	3482	15715
907	3486	15711
908	3490	15707
909	3493	15703
910	3497	15699
911	3501	15694
912	3505	15690
913	3509	15687
914	3512	15683
915	3516	15679
916	3520	15674
917	3523	15669
918	3527	15665
919	3531	15661
920	3535	15656
921	3538	15652
922	3542	15648
923	3546	15644
924	3550	15639
925	3553	15635
926	3557	15630
927	3561	15627
928	3565	15623
929	3568	15618
930	3572	15614
931	3576	15611
932	3580	15606
933	3584	15602
934	3587	15598
935	3591	15594
936	3595	15590
937	3599	15586
938	3603	15584
939	3607	15580
940	3611	15576
941	3614	15572
942	3618	15568
943	3622	15564
944	3626	15561
945	3628	15551
946	3631	15542
947	3635	15537
948	3637	15528
949	3641	15524
950	3645	15520
951	3647	15510
952	3650	15501
953	3654	15497
954	3657	15493
955	3661	15489
956	3665	15485
957	3669	15481
958	3673	15478
959	3675	15469
960	3679	15465
961	3682	15456
962	3686	15452
963	3689	15448
964	3693	15445
965	3697	15441
966	3700	15431
967	3702	15422
968	3706	15418
969	3708	15408
970	3712	15404
971	3716	15400
972	3720	15397
973	3724	15393
974	3727	15388
975	3731	15384
976	3735	15380
977	3739	15376
978	3742	15372
979	3746	15368
980	3750	15364
981	3754	15360
982	3757	15356
983	3761	15352
984	3765	15348
985	3769	15343
